recorte,numero_mask,8_layers_8channels,32_layers_8channels,64_layers_8channels,8_layers_1channels,32_layers_1channels
562,0.0,1.0,1.0,0.0,1.0,1.0
563,0.0,1.0,1.0,1.0,1.0,1.0
569,222.0,0.8405797101449275,0.8811188811188811,0.7959183673469388,0.7266553480475382,0.7956521739130434
574,346.0,0.9488636363636364,0.9572649572649573,0.8623087621696801,0.8605577689243028,0.9101796407185628
587,37.0,0.0,0.10256410256410256,0.1951219512195122,0.0,0.6545454545454545
588,11.0,0.0,0.6666666666666666,0.625,0.8,0.56
589,26.0,0.5098039215686274,0.5647058823529412,0.6666666666666666,0.390625,0.5050505050505051
590,0.0,1.0,1.0,1.0,1.0,1.0
592,0.0,1.0,1.0,1.0,1.0,1.0
595,0.0,1.0,1.0,1.0,1.0,1.0
596,0.0,1.0,1.0,1.0,1.0,1.0
602,40.0,0.7083333333333334,0.8333333333333334,0.8732394366197183,0.9135802469135802,0.918918918918919
606,17.0,0.0,0.0,0.0,0.0,0.0
610,0.0,1.0,1.0,1.0,1.0,1.0
612,0.0,1.0,1.0,1.0,0.0,1.0
621,0.0,1.0,1.0,1.0,1.0,1.0
623,76.0,0.8670520231213873,0.9493670886075949,0.9219858156028369,0.8275862068965517,0.9178082191780822
624,0.0,1.0,1.0,1.0,1.0,1.0
632,0.0,1.0,1.0,1.0,1.0,1.0
633,3.0,0.0410958904109589,0.030534351145038167,0.045112781954887216,0.038461538461538464,0.0410958904109589
639,46.0,0.7160493827160493,0.7,0.5507246376811594,0.6966292134831461,0.7524752475247525
640,679.0,0.9375448671931084,0.9465201465201465,0.9363295880149812,0.9346590909090909,0.9391049156272927
645,1197.0,0.9359445124439004,0.9399264405394361,0.941027801179444,0.9202064311234617,0.9249592169657422
647,0.0,1.0,1.0,1.0,1.0,1.0
648,143.0,0.8903654485049833,0.926829268292683,0.9614035087719298,0.9295774647887324,0.9236111111111112
659,1936.0,0.927710843373494,0.9445882962195753,0.9321674615792263,0.8425249169435216,0.8633554589150836
665,422.0,0.7108433734939759,0.5625,0.25,0.7562557924003707,0.7682363804247461
670,59.0,0.7547169811320755,0.7433628318584071,0.6666666666666666,0.7671232876712328,0.7007299270072993
692,35.0,0.8955223880597015,0.9253731343283582,0.9117647058823529,0.9428571428571428,0.9090909090909091
693,63.0,0.8549618320610687,0.819672131147541,0.8135593220338984,0.8571428571428571,0.8344370860927153
695,0.0,1.0,1.0,1.0,1.0,1.0
703,21.0,0.3142857142857143,0.0,0.04081632653061224,0.32786885245901637,0.5217391304347826
710,0.0,1.0,1.0,1.0,1.0,1.0
712,0.0,1.0,1.0,1.0,1.0,1.0
716,96.0,0.8144796380090498,0.8527918781725888,0.848780487804878,0.748898678414097,0.7889908256880734
719,3389.0,0.9833134684147795,0.9818997756170531,0.9844483568075117,0.9862412177985949,0.9873193748156885
725,0.0,1.0,1.0,1.0,1.0,1.0
736,2560.0,0.9658762290341237,0.9704576173006372,0.9705595632676935,0.9618700900555662,0.9631794272355347
753,1711.0,0.9653779572994806,0.9707259953161592,0.9661214953271028,0.9497049733071088,0.956546598056032
754,5707.0,0.9718334499650105,0.9723883221948646,0.9753443888742651,0.9724354501046755,0.967730464930216
762,9.0,0.75,0.7058823529411765,0.8,0.7619047619047619,0.875
763,0.0,1.0,1.0,1.0,1.0,1.0
771,251.0,0.9239543726235742,0.9191321499013807,0.9161554192229039,0.8979591836734694,0.8730769230769231
772,7.0,0.0,0.0,0.4,0.47619047619047616,0.7777777777777778
775,0.0,1.0,1.0,1.0,1.0,1.0
783,38.0,0.7578947368421053,0.7474747474747475,0.8604651162790697,0.6371681415929203,0.7741935483870968
786,233.0,0.8385899814471243,0.8327137546468402,0.8388349514563107,0.8203266787658802,0.828996282527881
788,0.0,1.0,1.0,1.0,1.0,0.0
796,6.0,0.0,0.0,0.0,0.2222222222222222,0.5
803,338.0,0.7905511811023622,0.8220472440944881,0.8258426966292135,0.8411458333333334,0.8443843031123139
809,27.0,0.8928571428571429,0.8571428571428571,0.7272727272727273,0.8771929824561403,0.8524590163934426
810,16.0,0.07432432432432433,0.06920415224913495,0.03508771929824561,0.7804878048780488,0.7804878048780488
813,205.0,0.8947368421052632,0.908675799086758,0.9259259259259259,0.8758169934640523,0.898876404494382
814,315.0,0.9468892261001517,0.9510703363914373,0.9672386895475819,0.9550387596899225,0.9572107765451664
